================================================================================
  Trainable variables of model `124M`
================================================================================

| Variable                                                    |    Shape     |    #Params |
|:------------------------------------------------------------|:------------:|-----------:|
| gpt2_LM/gpt2_LM/tkn_emb/embeddings:0                        | (50257, 768) | 38,597,376 |
| gpt2_LM/gpt2_LM/pos_emb/embeddings:0                        | (1024, 768)  |    786,432 |
| gpt2_LM/gpt2_LM/transformer_0/ln_1/gamma:0                  |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_0/ln_1/beta:0                   |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_0/attn_heads/W_qkv/kernel:0     | (768, 2304)  |  1,769,472 |
| gpt2_LM/gpt2_LM/transformer_0/attn_heads/W_qkv/bias:0       |   (2304,)    |      2,304 |
| gpt2_LM/gpt2_LM/transformer_0/attn_heads/out_proj/kernel:0  |  (768, 768)  |    589,824 |
| gpt2_LM/gpt2_LM/transformer_0/attn_heads/out_proj/bias:0    |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_0/ln_2/gamma:0                  |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_0/ln_2/beta:0                   |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_0/ffn/ffn_inner/kernel:0        | (768, 3072)  |  2,359,296 |
| gpt2_LM/gpt2_LM/transformer_0/ffn/ffn_inner/bias:0          |   (3072,)    |      3,072 |
| gpt2_LM/gpt2_LM/transformer_0/ffn/ffn_out/kernel:0          | (3072, 768)  |  2,359,296 |
| gpt2_LM/gpt2_LM/transformer_0/ffn/ffn_out/bias:0            |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_1/ln_1/gamma:0                  |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_1/ln_1/beta:0                   |    (768,)    |        768 |
| gpt2_LM/gpt2_LM/transformer_1/attn_heads/W_qkv/kernel:0     | (768, 2304)  |  1,769,472 |
| gpt2_LM/gpt2_LM/transformer_1/attn_heads/W_qkv/bias:0       |   (2304,)    |      2,304 |
